Name,Category,Effect,Materials,Typical Users,Farming Notes
Flask of Relentless Assault,Flask,"+120 Attack Power (2hr, persists through death)","7x Terocone, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Melee DPS (Rogues, Warriors, Enh Shamans, Ret Paladins), Hunters",Terocone: Herb in Terokkar Forest. Mana Thistle: Rare high-level herb found in all Outland zones on cliff edges and elevated areas. Fel Lotus: Very rare random drop from ANY Outland herb node - sell these at a premium.
Flask of Pure Death,Flask,"+80 Shadow/Fire/Frost Spell Damage (2hr, persists through death)","7x Nightmare Vine, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Warlocks, Shadow Priests, Fire/Frost Mages",Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm (high-level zones). Mana Thistle: Rare herb on cliff edges in all Outland zones. Fel Lotus: Very rare from any Outland herb node.
Flask of Blinding Light,Flask,"+80 Arcane/Holy/Nature Spell Damage (2hr, persists through death)","7x Netherbloom, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Balance Druids, Holy Paladins, Elemental Shamans, Arcane Mages",Netherbloom: Herb found in Netherstorm. Mana Thistle: Rare herb on cliff edges in all Outland zones. Fel Lotus: Very rare from any Outland herb node.
Flask of Mighty Restoration,Flask,"+25 MP5 (2hr, persists through death)","7x Dreaming Glory, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Healers (Resto Shamans, Holy Priests, Resto Druids, Holy Paladins)",Dreaming Glory: Common herb in all Outland zones especially Nagrand and Terokkar Forest. Mana Thistle: Rare herb on cliff edges. Fel Lotus: Very rare from any Outland herb node.
Flask of Fortification,Flask,"+500 HP and +10 Defense Rating (2hr, persists through death)","7x Ancient Lichen, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Tanks (Prot Warriors, Prot Paladins, Feral Druids)","Ancient Lichen: Found INSIDE Outland dungeons only (Underbog, Slave Pens, Mana-Tombs, Auchenai Crypts, etc). Mana Thistle: Rare herb on cliff edges. Fel Lotus: Very rare from any Outland herb node."
Flask of Chromatic Wonder,Flask,"+35 All Resistances and +18 All Stats (2hr, persists through death)","7x Dreaming Glory, 3x Netherbloom, 1x Fel Lotus, 1x Imbued Vial",Versatile/budget option for any role; tanks on resistance fights,Dreaming Glory: Common herb in all Outland zones. Netherbloom: Herb in Netherstorm. Fel Lotus: Very rare from any Outland herb node.
Elixir of Major Agility,Battle Elixir,+35 Agility and +20 Crit Rating (1hr),"2x Felweed, 1x Terocone, 1x Crystal Vial","Rogues, Hunters, Feral Druids, Enh Shamans",Felweed: Very common herb in Hellfire Peninsula and Zangarmarsh. Terocone: Herb in Terokkar Forest.
Elixir of Major Strength,Battle Elixir,+35 Strength (1hr),"1x Mountain Silversage, 1x Felweed, 1x Crystal Vial","Warriors, Ret Paladins, Enh Shamans","Mountain Silversage: Classic herb from Winterspring, Eastern Plaguelands, Burning Steppes, Un'Goro Crater. Felweed: Very common in Hellfire Peninsula and Zangarmarsh."
Elixir of Mastery,Battle Elixir,+15 All Stats (1hr),"2x Terocone, 1x Felweed, 1x Crystal Vial","Feral Druid tanks, versatile/budget option for any class",Terocone: Herb in Terokkar Forest. Felweed: Very common in Hellfire Peninsula and Zangarmarsh.
Elixir of Major Shadow Power,Battle Elixir,+55 Shadow Spell Damage (1hr),"1x Nightmare Vine, 1x Ancient Lichen, 1x Crystal Vial","Warlocks, Shadow Priests",Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm. Ancient Lichen: Found inside Outland dungeons only.
